Sample_ID,Label,Probability_residual_leaf_1,Probability_residual_leaf_2,Probability_residual_leaf_3,Probability_residual_leaf_4,Probability_residual_leaf_5,Z-score_residual_leaf_1,Z-score_residual_leaf_2,Z-score_residual_leaf_3,Z-score_residual_leaf_4,Z-score_residual_leaf_5,Sum_of_absolute_residual,Root_sum_of_squared_residual,Shannon_entropy_of_absolute_residual,Mahalanobis_distance_of_residual,True_label,leaf_1_true,leaf_2_true,leaf_3_true,leaf_4_true,leaf_5_true,Predicted_label,leaf_1_predicted,leaf_2_predicted,leaf_3_predicted,leaf_4_predicted,leaf_5_predicted
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_1,1_1,0.33333333333333337,-0.3333333333333333,0.0,0.0,0.0,1.2410104559880457,-1.1769277847857558,0.11162911443718948,0.03382550457458688,-0.07580980435789036,0.6666666666666667,0.4714045207910317,0.43067655807339306,1.2482256219125918,leaf_1,1.0,0.0,0.0,0.0,0.0,leaf_1,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_2,1_2,0.6666666666666667,-0.6666666666666666,0.0,0.0,0.0,2.533729680975594,-2.227756164058752,0.11162911443718948,0.03382550457458688,-0.07580980435789036,1.3333333333333335,0.9428090415820634,0.43067655807339306,2.4963170395488734,leaf_1,1.0,0.0,0.0,0.0,0.0,leaf_2,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_3,1_3,0.33333333333333337,-0.3333333333333333,0.0,0.0,0.0,1.2410104559880457,-1.1769277847857558,0.11162911443718948,0.03382550457458688,-0.07580980435789036,0.6666666666666667,0.4714045207910317,0.43067655807339306,1.2482256219125918,leaf_1,1.0,0.0,0.0,0.0,0.0,leaf_1,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_1,2_1,0.0,0.33333333333333337,0.0,-0.3333333333333333,0.0,-0.05170876899950193,0.9247289737602369,0.11162911443718948,-0.811812109790086,-0.07580980435789036,0.6666666666666667,0.4714045207910317,0.43067655807339306,1.678819759840572,leaf_2,0.0,1.0,0.0,0.0,0.0,leaf_2,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_5,2_5,0.0,0.33333333333333337,0.0,-0.3333333333333333,0.0,-0.05170876899950193,0.9247289737602369,0.11162911443718948,-0.811812109790086,-0.07580980435789036,0.6666666666666667,0.4714045207910317,0.43067655807339306,1.678819759840572,leaf_2,0.0,1.0,0.0,0.0,0.0,leaf_2,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_3,3_3,0.0,0.0,0.6666666666666667,-0.6666666666666666,0.0,-0.05170876899950193,-0.12609940551275958,1.5069930449020588,-1.6574497241547588,-0.07580980435789036,1.3333333333333335,0.9428090415820634,0.43067655807339306,1.672752277386758,leaf_3,0.0,0.0,1.0,0.0,0.0,leaf_4,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_4,3_4,0.0,0.0,0.6666666666666667,-0.6666666666666666,0.0,-0.05170876899950193,-0.12609940551275958,1.5069930449020588,-1.6574497241547588,-0.07580980435789036,1.3333333333333335,0.9428090415820634,0.43067655807339306,1.672752277386758,leaf_3,0.0,0.0,1.0,0.0,0.0,leaf_4,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_5,3_5,0.0,-0.3333333333333333,0.6666666666666667,-0.3333333333333333,0.0,-0.05170876899950193,-1.1769277847857558,1.5069930449020588,-0.811812109790086,-0.07580980435789036,1.3333333333333333,0.816496580927726,0.6460148371100897,2.2838539642496043,leaf_3,0.0,0.0,1.0,0.0,0.0,leaf_2,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_2,4_2,0.0,0.0,-0.3333333333333333,0.33333333333333337,0.0,-0.05170876899950193,-0.12609940551275958,-0.586052850795245,0.8794631189392598,-0.07580980435789036,0.6666666666666667,0.4714045207910317,0.43067655807339306,0.9178076940426145,leaf_4,0.0,0.0,0.0,1.0,0.0,leaf_4,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_5,4_5,0.0,0.0,-0.3333333333333333,0.33333333333333337,0.0,-0.05170876899950193,-0.12609940551275958,-0.586052850795245,0.8794631189392598,-0.07580980435789036,0.6666666666666667,0.4714045207910317,0.43067655807339306,0.9178076940426145,leaf_4,0.0,0.0,0.0,1.0,0.0,leaf_4,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_2,5_2,0.0,0.0,-0.3333333333333333,0.0,0.33333333333333337,-0.05170876899950193,-0.12609940551275958,-0.586052850795245,0.03382550457458688,1.819435304589368,0.6666666666666667,0.4714045207910317,0.43067655807339306,1.8133402550466127,leaf_5,0.0,0.0,0.0,0.0,1.0,leaf_5,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666
