Sample_ID,Label,Probability_residual_leaf_1,Probability_residual_leaf_2,Probability_residual_leaf_3,Probability_residual_leaf_4,Probability_residual_leaf_5,Z-score_residual_leaf_1,Z-score_residual_leaf_2,Z-score_residual_leaf_3,Z-score_residual_leaf_4,Z-score_residual_leaf_5,Sum_of_absolute_residual,Root_sum_of_squared_residual,Shannon_entropy_of_absolute_residual,Mahalanobis_distance_of_residual,True_label,leaf_1_true,leaf_2_true,leaf_3_true,leaf_4_true,leaf_5_true,Predicted_label,leaf_1_predicted,leaf_2_predicted,leaf_3_predicted,leaf_4_predicted,leaf_5_predicted
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_1,1_1,0.7,-0.7,0.0,0.0,0.0,1.9784676627229698,-1.8541666666666665,0.3111639366337656,-0.04300660919012403,-0.16208817969462155,1.4,0.9899494936611665,0.43067655807339306,1.9836209333366723,leaf_1,1.0,0.0,0.0,0.0,0.0,leaf_2,0.3,0.7,0.0,0.0,0.0
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_2,1_2,0.7,-0.7,0.0,0.0,0.0,1.9784676627229698,-1.8541666666666665,0.3111639366337656,-0.04300660919012403,-0.16208817969462155,1.4,0.9899494936611665,0.43067655807339306,1.9836209333366723,leaf_1,1.0,0.0,0.0,0.0,0.0,leaf_2,0.3,0.7,0.0,0.0,0.0
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_4,1_4,0.6,-0.5,-0.1,0.0,0.0,1.6925619311156044,-1.3333333333333333,-0.17502971435649317,-0.04300660919012403,-0.16208817969462155,1.2000000000000002,0.7874007874011811,0.5706512676864157,2.166507435728207,leaf_1,1.0,0.0,0.0,0.0,0.0,leaf_2,0.4,0.5,0.1,0.0,0.0
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_1,2_1,-0.4,0.6,-0.2,0.0,0.0,-1.1664953849580517,1.5312499999999998,-0.661223365346752,-0.04300660919012403,-0.16208817969462155,1.2,0.7483314773547883,0.6284208026252548,2.0774034530821313,leaf_2,0.0,1.0,0.0,0.0,0.0,leaf_1,0.4,0.4,0.2,0.0,0.0
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_5,2_5,-0.4,0.4,0.0,0.0,0.0,-1.1664953849580517,1.0104166666666667,0.3111639366337656,-0.04300660919012403,-0.16208817969462155,0.8,0.5656854249492381,0.43067655807339306,1.3074229369027284,leaf_2,0.0,1.0,0.0,0.0,0.0,leaf_2,0.4,0.6,0.0,0.0,0.0
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_2,3_2,0.0,0.0,0.4,-0.3,-0.1,-0.02287245852858924,-0.03125000000000001,2.2559385405948005,-1.1181718389432242,-0.668613741240314,0.7999999999999999,0.5099019513592785,0.6053757932145417,2.350642528907596,leaf_3,0.0,0.0,1.0,0.0,0.0,leaf_3,0.0,0.0,0.6,0.3,0.1
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_3,3_3,0.0,-0.1,0.19999999999999996,-0.1,0.0,-0.02287245852858924,-0.2916666666666667,1.2835512386142829,-0.40139501910782416,-0.16208817969462155,0.3999999999999999,0.24494897427831777,0.6460148371100897,1.654054163012236,leaf_3,0.0,0.0,1.0,0.0,0.0,leaf_3,0.0,0.1,0.8,0.1,0.0
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_4,3_4,0.0,0.0,0.09999999999999998,-0.1,0.0,-0.02287245852858924,-0.03125000000000001,0.7973575876240242,-0.40139501910782416,-0.16208817969462155,0.19999999999999998,0.1414213562373095,0.43067655807339306,0.8020068598856946,leaf_3,0.0,0.0,1.0,0.0,0.0,leaf_3,0.0,0.0,0.9,0.1,0.0
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_1,4_1,0.0,0.0,-0.1,0.4,-0.3,-0.02287245852858924,-0.03125000000000001,-0.17502971435649317,1.3905470304806764,-1.6816648643316985,0.8,0.5099019513592785,0.6053757932145417,1.6824518522406906,leaf_4,0.0,0.0,0.0,1.0,0.0,leaf_4,0.0,0.0,0.1,0.6,0.3
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_5,4_5,0.0,0.0,-0.6,0.7,-0.1,-0.02287245852858924,-0.03125000000000001,-2.605997969307787,2.4657122602337767,-0.668613741240314,1.4,0.9273618495495703,0.5580863559661718,2.8350632193444496,leaf_4,0.0,0.0,0.0,1.0,0.0,leaf_3,0.0,0.0,0.6,0.3,0.1
