Step_0,Step_1,Step_2,Step_0_name,Step_1_name,Step_2_name,Precision,Recall,F1_Score,Accuracy,AUC,Model_step_1,Model_step_2,Model_step_3,Result_subdirectory
2_0_%#1,5_0_%#1,7_0_%#1,raw,roi_mean,StandardScaler_feat5_KNeighborsClassifier,0.5266666666666666,0.5599999999999999,0.5418181818181818,0.8240000000000001,0.8180000000000002,StandardScaler,feat5,KNeighborsClassifier,Data_chain_Preprocessing_#0_Model_StandardScaler_feat5_KNeighborsClassifier
2_0_%#1,5_0_%#1,7_0_%#2,raw,roi_mean,StandardScaler_feat5_RandomForestClassifier,0.7523809523809524,0.72,0.7207070707070707,0.8879999999999999,0.867,StandardScaler,feat5,RandomForestClassifier,Data_chain_Preprocessing_#0_Model_StandardScaler_feat5_RandomForestClassifier
2_0_%#1,5_0_%#1,7_0_%#3,raw,roi_mean,StandardScaler_feat_all_KNeighborsClassifier,0.49,0.36,0.3682051282051282,0.744,0.7460000000000001,StandardScaler,feat_all,KNeighborsClassifier,Data_chain_Preprocessing_#0_Model_StandardScaler_feat_all_KNeighborsClassifier
2_0_%#1,5_0_%#1,7_0_%#4,raw,roi_mean,StandardScaler_feat_all_RandomForestClassifier,0.5071428571428571,0.4800000000000001,0.4863636363636363,0.792,0.751,StandardScaler,feat_all,RandomForestClassifier,Data_chain_Preprocessing_#0_Model_StandardScaler_feat_all_RandomForestClassifier
2_0_%#1,5_0_%#2,7_0_%#1,raw,roi_median,StandardScaler_feat5_KNeighborsClassifier,0.6933333333333334,0.72,0.6898701298701299,0.8879999999999999,0.868,StandardScaler,feat5,KNeighborsClassifier,Data_chain_Preprocessing_#1_Model_StandardScaler_feat5_KNeighborsClassifier
2_0_%#1,5_0_%#2,7_0_%#2,raw,roi_median,StandardScaler_feat5_RandomForestClassifier,0.5285714285714286,0.48,0.5,0.792,0.8210000000000001,StandardScaler,feat5,RandomForestClassifier,Data_chain_Preprocessing_#1_Model_StandardScaler_feat5_RandomForestClassifier
2_0_%#1,5_0_%#2,7_0_%#3,raw,roi_median,StandardScaler_feat_all_KNeighborsClassifier,0.3119047619047619,0.36,0.3323232323232323,0.744,0.71,StandardScaler,feat_all,KNeighborsClassifier,Data_chain_Preprocessing_#1_Model_StandardScaler_feat_all_KNeighborsClassifier
2_0_%#1,5_0_%#2,7_0_%#4,raw,roi_median,StandardScaler_feat_all_RandomForestClassifier,0.6206349206349207,0.5199999999999999,0.5269841269841269,0.808,0.845,StandardScaler,feat_all,RandomForestClassifier,Data_chain_Preprocessing_#1_Model_StandardScaler_feat_all_RandomForestClassifier
2_0_%#2,5_0_%#1,7_0_%#1,snv,roi_mean,StandardScaler_feat5_KNeighborsClassifier,0.8083333333333332,0.76,0.7469197469197469,0.904,0.8950000000000001,StandardScaler,feat5,KNeighborsClassifier,Data_chain_Preprocessing_#2_Model_StandardScaler_feat5_KNeighborsClassifier
2_0_%#2,5_0_%#1,7_0_%#2,snv,roi_mean,StandardScaler_feat5_RandomForestClassifier,0.7966666666666667,0.8,0.7951515151515152,0.92,0.964,StandardScaler,feat5,RandomForestClassifier,Data_chain_Preprocessing_#2_Model_StandardScaler_feat5_RandomForestClassifier
2_0_%#2,5_0_%#1,7_0_%#3,snv,roi_mean,StandardScaler_feat_all_KNeighborsClassifier,0.8516666666666668,0.8,0.7877278277278277,0.92,0.9190000000000002,StandardScaler,feat_all,KNeighborsClassifier,Data_chain_Preprocessing_#2_Model_StandardScaler_feat_all_KNeighborsClassifier
2_0_%#2,5_0_%#1,7_0_%#4,snv,roi_mean,StandardScaler_feat_all_RandomForestClassifier,0.6866666666666668,0.68,0.6795959595959595,0.8719999999999999,0.921,StandardScaler,feat_all,RandomForestClassifier,Data_chain_Preprocessing_#2_Model_StandardScaler_feat_all_RandomForestClassifier
2_0_%#2,5_0_%#2,7_0_%#1,snv,roi_median,StandardScaler_feat5_KNeighborsClassifier,0.5857142857142856,0.56,0.5468864468864468,0.8240000000000001,0.8880000000000001,StandardScaler,feat5,KNeighborsClassifier,Data_chain_Preprocessing_#3_Model_StandardScaler_feat5_KNeighborsClassifier
2_0_%#2,5_0_%#2,7_0_%#2,snv,roi_median,StandardScaler_feat5_RandomForestClassifier,0.7476190476190477,0.76,0.7318903318903318,0.904,0.94,StandardScaler,feat5,RandomForestClassifier,Data_chain_Preprocessing_#3_Model_StandardScaler_feat5_RandomForestClassifier
2_0_%#2,5_0_%#2,7_0_%#3,snv,roi_median,StandardScaler_feat_all_KNeighborsClassifier,0.719047619047619,0.72,0.7095959595959596,0.8879999999999999,0.951,StandardScaler,feat_all,KNeighborsClassifier,Data_chain_Preprocessing_#3_Model_StandardScaler_feat_all_KNeighborsClassifier
2_0_%#2,5_0_%#2,7_0_%#4,snv,roi_median,StandardScaler_feat_all_RandomForestClassifier,0.6833333333333333,0.68,0.6767676767676768,0.8720000000000001,0.904,StandardScaler,feat_all,RandomForestClassifier,Data_chain_Preprocessing_#3_Model_StandardScaler_feat_all_RandomForestClassifier
