Process_ID,All,feat5,feat_all
Process_label,All,feat5,feat_all
n_records,16,8,8
Mean_AUC_macro,0.8630000000000001,0.882625,0.843375
Min_AUC_macro,0.71,0.8180000000000002,0.71
Median_AUC_macro,0.8780000000000001,0.8780000000000001,0.8745
Max_AUC_macro,0.964,0.964,0.951
p_vs_All,1.0,0.7833294666885027,0.7833294666885027
p_vs_feat5,0.7833294666885027,1.0,0.5859375
p_vs_feat_all,0.7833294666885027,0.5859375,1.0
effect_vs_All,0.0,0.062450890005834446,0.05613062529144418
effect_vs_feat5,0.062450890005834446,0.0,0.4578595627851022
effect_vs_feat_all,0.05613062529144418,0.4578595627851022,0.0
