Process_ID,All,KNeighborsClassifier,RandomForestClassifier
Process_label,All,KNeighborsClassifier,RandomForestClassifier
n_records,16,8,8
Mean_AUC_macro,0.8630000000000001,0.8493750000000001,0.876625
Min_AUC_macro,0.71,0.71,0.751
Median_AUC_macro,0.8780000000000001,0.8780000000000001,0.8855
Max_AUC_macro,0.964,0.951,0.964
p_vs_All,1.0,0.6841799934337194,0.6841799934337194
p_vs_KNeighborsClassifier,0.6841799934337194,1.0,0.4453125
p_vs_RandomForestClassifier,0.6841799934337194,0.4453125,1.0
effect_vs_All,0.0,0.08303072516928395,0.08422936238627565
effect_vs_KNeighborsClassifier,0.08303072516928395,0.0,0.5109103102480493
effect_vs_RandomForestClassifier,0.08422936238627565,0.5109103102480493,0.0
