Process_ID,All,2_0_%#1,2_0_%#2
Process_label,All,raw,snv
n_records,16,8,8
Mean_AUC_macro,0.8630000000000001,0.80325,0.92275
Min_AUC_macro,0.71,0.71,0.8880000000000001
Median_AUC_macro,0.8780000000000001,0.8195000000000001,0.9200000000000002
Max_AUC_macro,0.964,0.868,0.964
p_vs_All,1.0,0.019450216246630965,0.019450216246630965
p_vs_raw,0.019450216246630965,1.0,0.019450216246630965
p_vs_snv,0.019450216246630965,0.019450216246630965,1.0
effect_vs_All,0.0,0.4769948289854912,0.4769948289854912
effect_vs_raw,0.4769948289854912,0.0,0.9404758727365695
effect_vs_snv,0.4769948289854912,0.9404758727365695,0.0
