Process_ID,All,7_0_%#1,7_0_%#2,7_0_%#3,7_0_%#4
Process_label,All,StandardScaler_feat5_KNeighborsClassifier,StandardScaler_feat5_RandomForestClassifier,StandardScaler_feat_all_KNeighborsClassifier,StandardScaler_feat_all_RandomForestClassifier
n_records,16,4,4,4,4
Mean_AUC_macro,0.8630000000000001,0.8672500000000001,0.898,0.8315,0.8552500000000001
Min_AUC_macro,0.71,0.8180000000000002,0.8210000000000001,0.71,0.751
Median_AUC_macro,0.8780000000000001,0.8780000000000001,0.9035,0.8325000000000001,0.8745
Max_AUC_macro,0.964,0.8950000000000001,0.964,0.951,0.921
p_vs_All,1.0,0.928602128642949,0.928602128642949,0.928602128642949,0.928602128642949
p_vs_StandardScaler_feat5_KNeighborsClassifier,0.928602128642949,1.0,0.8333333333333334,0.928602128642949,0.928602128642949
p_vs_StandardScaler_feat5_RandomForestClassifier,0.928602128642949,0.8333333333333334,1.0,0.8333333333333334,0.8333333333333334
p_vs_StandardScaler_feat_all_KNeighborsClassifier,0.928602128642949,0.928602128642949,0.8333333333333334,1.0,0.928602128642949
p_vs_StandardScaler_feat_all_RandomForestClassifier,0.928602128642949,0.928602128642949,0.8333333333333334,0.928602128642949,1.0
effect_vs_All,0.0,0.07640995452501521,0.14189658792100718,0.05708955866205052,0.02003600076216423
effect_vs_StandardScaler_feat5_KNeighborsClassifier,0.07640995452501521,0.0,0.5751746901880039,0.24438820555733476,0.07865534230508535
effect_vs_StandardScaler_feat5_RandomForestClassifier,0.14189658792100718,0.5751746901880039,0.0,0.5751746901880039,0.5751746901880039
effect_vs_StandardScaler_feat_all_KNeighborsClassifier,0.05708955866205052,0.24438820555733476,0.5751746901880039,0.0,0.24438820555733476
effect_vs_StandardScaler_feat_all_RandomForestClassifier,0.02003600076216423,0.07865534230508535,0.5751746901880039,0.24438820555733476,0.0
