Process_ID,All,feat5,feat_all
Process_label,All,feat5,feat_all
n_records,16,8,8
Mean_AUC_micro,0.8803125,0.901475,0.85915
Min_AUC_micro,0.741,0.8478,0.741
Median_AUC_micro,0.8967,0.8967,0.8768
Max_AUC_micro,0.9704,0.9704,0.9492
p_vs_All,1.0,0.7048934584027075,0.7048934584027075
p_vs_feat5,0.7048934584027075,1.0,0.328125
p_vs_feat_all,0.7048934584027075,0.328125,1.0
effect_vs_All,0.0,0.08885651351584799,0.07730653985921025
effect_vs_feat5,0.08885651351584799,0.0,0.5660420418396824
effect_vs_feat_all,0.07730653985921025,0.5660420418396824,0.0
