Process_ID,All,KNeighborsClassifier,RandomForestClassifier
Process_label,All,KNeighborsClassifier,RandomForestClassifier
n_records,16,8,8
Mean_AUC_micro,0.8803125,0.865175,0.89545
Min_AUC_micro,0.741,0.741,0.8
Median_AUC_micro,0.8967,0.8967,0.9109
Max_AUC_micro,0.9704,0.9492,0.9704
p_vs_All,1.0,0.6854031289041014,0.6854031289041014
p_vs_KNeighborsClassifier,0.6854031289041014,1.0,0.328125
p_vs_RandomForestClassifier,0.6854031289041014,0.328125,1.0
effect_vs_All,0.0,0.08427951949414828,0.08269093494552043
effect_vs_KNeighborsClassifier,0.08427951949414828,0.0,0.5660420418396824
effect_vs_RandomForestClassifier,0.08269093494552043,0.5660420418396824,0.0
