Process_ID,All,5_0_%#1,5_0_%#2
Process_label,All,roi_mean,roi_median
n_records,16,8,8
Mean_AUC_micro,0.8803125,0.8792,0.8814249999999999
Min_AUC_micro,0.741,0.7726000000000001,0.741
Median_AUC_micro,0.8967,0.8997999999999999,0.8967
Max_AUC_micro,0.9704,0.9704,0.9492
p_vs_All,1.0,0.9537907753905172,0.9537907753905172
p_vs_roi_mean,0.9537907753905172,1.0,0.9537907753905172
p_vs_roi_median,0.9537907753905172,0.9537907753905172,1.0
effect_vs_All,0.0,0.011828399786155092,0.011883540543492988
effect_vs_roi_mean,0.011828399786155092,0.0,0.02425177226769576
effect_vs_roi_median,0.011883540543492988,0.02425177226769576,0.0
