Step_0,Step_1,Step_2,Step_0_name,Step_1_name,Step_2_name,Precision,Recall,F1_Score,Accuracy,AUC,Model_step_1,Model_step_2,Model_step_3,Result_subdirectory
2_0_%#1,5_0_%#1,7_0_%#1,raw,roi_mean,StandardScaler_feat5_KNeighborsClassifier,0.56,0.56,0.56,0.56,0.8478,StandardScaler,feat5,KNeighborsClassifier,Data_chain_Preprocessing_#0_Model_StandardScaler_feat5_KNeighborsClassifier
2_0_%#1,5_0_%#1,7_0_%#2,raw,roi_mean,StandardScaler_feat5_RandomForestClassifier,0.72,0.72,0.72,0.72,0.8952,StandardScaler,feat5,RandomForestClassifier,Data_chain_Preprocessing_#0_Model_StandardScaler_feat5_RandomForestClassifier
2_0_%#1,5_0_%#1,7_0_%#3,raw,roi_mean,StandardScaler_feat_all_KNeighborsClassifier,0.36,0.36,0.36,0.36,0.7726000000000001,StandardScaler,feat_all,KNeighborsClassifier,Data_chain_Preprocessing_#0_Model_StandardScaler_feat_all_KNeighborsClassifier
2_0_%#1,5_0_%#1,7_0_%#4,raw,roi_mean,StandardScaler_feat_all_RandomForestClassifier,0.48,0.48,0.48,0.48,0.8,StandardScaler,feat_all,RandomForestClassifier,Data_chain_Preprocessing_#0_Model_StandardScaler_feat_all_RandomForestClassifier
2_0_%#1,5_0_%#2,7_0_%#1,raw,roi_median,StandardScaler_feat5_KNeighborsClassifier,0.72,0.72,0.72,0.72,0.8976000000000001,StandardScaler,feat5,KNeighborsClassifier,Data_chain_Preprocessing_#1_Model_StandardScaler_feat5_KNeighborsClassifier
2_0_%#1,5_0_%#2,7_0_%#2,raw,roi_median,StandardScaler_feat5_RandomForestClassifier,0.48,0.48,0.48,0.48,0.8522,StandardScaler,feat5,RandomForestClassifier,Data_chain_Preprocessing_#1_Model_StandardScaler_feat5_RandomForestClassifier
2_0_%#1,5_0_%#2,7_0_%#3,raw,roi_median,StandardScaler_feat_all_KNeighborsClassifier,0.36,0.36,0.36,0.36,0.741,StandardScaler,feat_all,KNeighborsClassifier,Data_chain_Preprocessing_#1_Model_StandardScaler_feat_all_KNeighborsClassifier
2_0_%#1,5_0_%#2,7_0_%#4,raw,roi_median,StandardScaler_feat_all_RandomForestClassifier,0.52,0.52,0.52,0.52,0.8406,StandardScaler,feat_all,RandomForestClassifier,Data_chain_Preprocessing_#1_Model_StandardScaler_feat_all_RandomForestClassifier
2_0_%#2,5_0_%#1,7_0_%#1,snv,roi_mean,StandardScaler_feat5_KNeighborsClassifier,0.76,0.76,0.76,0.76,0.9044,StandardScaler,feat5,KNeighborsClassifier,Data_chain_Preprocessing_#2_Model_StandardScaler_feat5_KNeighborsClassifier
2_0_%#2,5_0_%#1,7_0_%#2,snv,roi_mean,StandardScaler_feat5_RandomForestClassifier,0.8,0.8,0.8,0.8,0.9704,StandardScaler,feat5,RandomForestClassifier,Data_chain_Preprocessing_#2_Model_StandardScaler_feat5_RandomForestClassifier
2_0_%#2,5_0_%#1,7_0_%#3,snv,roi_mean,StandardScaler_feat_all_KNeighborsClassifier,0.8,0.8,0.8,0.8,0.913,StandardScaler,feat_all,KNeighborsClassifier,Data_chain_Preprocessing_#2_Model_StandardScaler_feat_all_KNeighborsClassifier
2_0_%#2,5_0_%#1,7_0_%#4,snv,roi_mean,StandardScaler_feat_all_RandomForestClassifier,0.68,0.68,0.68,0.68,0.9302,StandardScaler,feat_all,RandomForestClassifier,Data_chain_Preprocessing_#2_Model_StandardScaler_feat_all_RandomForestClassifier
2_0_%#2,5_0_%#2,7_0_%#1,snv,roi_median,StandardScaler_feat5_KNeighborsClassifier,0.56,0.56,0.56,0.56,0.8958,StandardScaler,feat5,KNeighborsClassifier,Data_chain_Preprocessing_#3_Model_StandardScaler_feat5_KNeighborsClassifier
2_0_%#2,5_0_%#2,7_0_%#2,snv,roi_median,StandardScaler_feat5_RandomForestClassifier,0.76,0.76,0.76,0.76,0.9484,StandardScaler,feat5,RandomForestClassifier,Data_chain_Preprocessing_#3_Model_StandardScaler_feat5_RandomForestClassifier
2_0_%#2,5_0_%#2,7_0_%#3,snv,roi_median,StandardScaler_feat_all_KNeighborsClassifier,0.72,0.72,0.72,0.72,0.9492,StandardScaler,feat_all,KNeighborsClassifier,Data_chain_Preprocessing_#3_Model_StandardScaler_feat_all_KNeighborsClassifier
2_0_%#2,5_0_%#2,7_0_%#4,snv,roi_median,StandardScaler_feat_all_RandomForestClassifier,0.68,0.68,0.68,0.68,0.9266,StandardScaler,feat_all,RandomForestClassifier,Data_chain_Preprocessing_#3_Model_StandardScaler_feat_all_RandomForestClassifier
