Sample_ID,Label,Target_value,Group,Validation_group,Test,Train
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_1,1_1,leaf_1,group_1,File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_1,1,1
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_2,1_2,leaf_1,group_1,File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_2,1,1
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_3,1_3,leaf_1,group_1,File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_3,1,1
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_4,1_4,leaf_1,group_1,File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_4,1,1
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_5,1_5,leaf_1,group_1,File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_5,1,1
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_1,2_1,leaf_2,group_1,File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_1,1,1
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_2,2_2,leaf_2,group_1,File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_2,1,1
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_3,2_3,leaf_2,group_1,File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_3,1,1
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_4,2_4,leaf_2,group_1,File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_4,1,1
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_5,2_5,leaf_2,group_1,File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_5,1,1
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_1,3_1,leaf_3,group_2,File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_1,1,1
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_2,3_2,leaf_3,group_2,File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_2,1,1
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_3,3_3,leaf_3,group_2,File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_3,1,1
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_4,3_4,leaf_3,group_2,File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_4,1,1
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_5,3_5,leaf_3,group_2,File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_5,1,1
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_1,4_1,leaf_4,group_2,File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_1,1,1
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_2,4_2,leaf_4,group_2,File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_2,1,1
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_3,4_3,leaf_4,group_2,File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_3,1,1
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_4,4_4,leaf_4,group_2,File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_4,1,1
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_5,4_5,leaf_4,group_2,File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_5,1,1
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_1,5_1,leaf_5,group_2,File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_1,1,1
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_2,5_2,leaf_5,group_2,File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_2,1,1
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_3,5_3,leaf_5,group_2,File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_3,1,1
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_4,5_4,leaf_5,group_2,File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_4,1,1
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_5,5_5,leaf_5,group_2,File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_5,1,1
