Sample_ID,Label,Cooks_distance_like
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_1,1_1,0.002123480384349949
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_2,1_2,0.0033179381005467965
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_3,1_3,0.005308700960874874
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_4,1_4,0.009157509157509156
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_5,1_5,0.0017253278122843344
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_1,2_1,0.0016130142289361854
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_2,2_2,0.0018710965055659752
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_3,2_3,0.0007097262607319214
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_4,2_4,0.0007097262607319211
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_5,2_5,0.0016130142289361854
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_1,3_1,0.0027870680044593085
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_2,3_2,0.00345065562456867
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_3,3_3,0.005706853532940487
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_4,3_4,0.0031852205765249236
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_5,3_5,0.009157509157509156
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_1,4_1,0.0016130142289361854
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_2,4_2,0.00025808227662978963
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_3,4_3,0.0016130142289361856
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_4,4_4,0.001161370244834053
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_5,4_5,0.0005806851224170265
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_1,5_1,0.003848808196634283
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_2,5_2,0.006635876201093592
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_3,5_3,0.0025216329564155646
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_4,5_4,0.007166746297181078
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_5,5_5,0.003052503052503053
