Process_ID,All,feat5,feat_all
Process_label,All,feat5,feat_all
n_records,16,8,8
Mean_R2,0.4732944444444444,0.5272555555555556,0.4193333333333333
Min_R2,0.1444444444444443,0.2711999999999999,0.1444444444444443
Median_R2,0.5266666666666666,0.5266666666666666,0.5167999999999999
Max_R2,0.6672,0.6672,0.6224
p_vs_All,1.0,0.6974381566988191,0.6974381566988191
p_vs_feat5,0.6974381566988191,1.0,0.328125
p_vs_feat_all,0.6974381566988191,0.328125,1.0
effect_vs_All,0.0,0.08717731273421793,0.07935958941780323
effect_vs_feat5,0.08717731273421793,0.0,0.5660420418396824
effect_vs_feat_all,0.07935958941780323,0.5660420418396824,0.0
