Process_ID,All,KNeighborsRegressor,RandomForestRegressor
Process_label,All,KNeighborsRegressor,RandomForestRegressor
n_records,16,8,8
Mean_R2,0.4732944444444444,0.4488888888888889,0.4976999999999999
Min_R2,0.1444444444444443,0.1444444444444443,0.2319999999999998
Median_R2,0.5266666666666666,0.5266666666666666,0.5359999999999999
Max_R2,0.6672,0.5888888888888888,0.6672
p_vs_All,1.0,0.7378093564556729,0.7378093564556729
p_vs_KNeighborsRegressor,0.7378093564556729,1.0,0.7378093564556729
p_vs_RandomForestRegressor,0.7378093564556729,0.7378093564556729,1.0
effect_vs_All,0.0,0.0742776325864172,0.0683317276395504
effect_vs_KNeighborsRegressor,0.0742776325864172,0.0,0.3570854488040641
effect_vs_RandomForestRegressor,0.0683317276395504,0.3570854488040641,0.0
