Process_ID,All,2_0_%#1,2_0_%#2
Process_label,All,raw,snv
n_records,16,8,8
Mean_R2,0.4732944444444444,0.3496555555555555,0.5969333333333333
Min_R2,0.1444444444444443,0.1444444444444443,0.5355555555555556
Median_R2,0.5266666666666666,0.36839999999999995,0.5888888888888888
Max_R2,0.6672,0.5177777777777778,0.6672
p_vs_All,1.0,0.019085712979153846,0.019085712979153846
p_vs_raw,0.019085712979153846,1.0,0.019085712979153846
p_vs_snv,0.019085712979153846,0.019085712979153846,1.0
effect_vs_All,0.0,0.4784369064635513,0.4784369064635513
effect_vs_raw,0.4784369064635513,0.0,0.9404758727365695
effect_vs_snv,0.4784369064635513,0.9404758727365695,0.0
