Process_ID,All,7_0_%#1,7_0_%#2,7_0_%#3,7_0_%#4
Process_label,All,StandardScaler_feat5_KNeighborsRegressor,StandardScaler_feat5_RandomForestRegressor,StandardScaler_feat_all_KNeighborsRegressor,StandardScaler_feat_all_RandomForestRegressor
n_records,16,4,4,4,4
Mean_R2,0.4732944444444444,0.5311111111111111,0.5233999999999999,0.3666666666666666,0.472
Min_R2,0.1444444444444443,0.5177777777777778,0.2711999999999999,0.1444444444444443,0.2319999999999998
Median_R2,0.5266666666666666,0.5266666666666666,0.5775999999999999,0.3666666666666667,0.5167999999999999
Max_R2,0.6672,0.5533333333333333,0.6672,0.5888888888888888,0.6224
p_vs_All,1.0,1.0,1.0,1.0,1.0
p_vs_StandardScaler_feat5_KNeighborsRegressor,1.0,1.0,1.0,1.0,1.0
p_vs_StandardScaler_feat5_RandomForestRegressor,1.0,1.0,1.0,0.625,0.625
p_vs_StandardScaler_feat_all_KNeighborsRegressor,1.0,1.0,0.625,1.0,0.8333333333333334
p_vs_StandardScaler_feat_all_RandomForestRegressor,1.0,1.0,0.625,0.8333333333333334,1.0
effect_vs_All,0.0,0.0,0.1113317827056183,0.09281188273407509,0.018532358984807717
effect_vs_StandardScaler_feat5_KNeighborsRegressor,0.0,0.0,0.0,0.24438820555733476,0.07865534230508535
effect_vs_StandardScaler_feat5_RandomForestRegressor,0.1113317827056183,0.0,0.0,0.7670602721762732,0.7670602721762732
effect_vs_StandardScaler_feat_all_KNeighborsRegressor,0.09281188273407509,0.24438820555733476,0.7670602721762732,0.0,0.5751746901880039
effect_vs_StandardScaler_feat_all_RandomForestRegressor,0.018532358984807717,0.07865534230508535,0.7670602721762732,0.5751746901880039,0.0
