Step_0,Step_1,Step_2,Step_0_name,Step_1_name,Step_2_name,Mean_Error,Standard_Deviation_of_Error,Mean_Absolute_Error,Normalized_MAE,CV_MAE,Mean_Squared_Error,Root_Mean_Squared_Error,Normalized_RMSE,CV_RMSE,Residual_Prediction_Deviation,R2,Model_step_1,Model_step_2,Model_step_3,Result_subdirectory
2_0_%#1,5_0_%#1,7_0_%#1,raw,roi_mean,StandardScaler_feat5_KNeighborsRegressor,0.0933333333333333,0.977616148257246,0.9733333333333332,0.2433333333333333,0.4866666666666666,0.9644444444444444,0.9820613241770824,0.2455153310442706,0.4910306620885412,1.440046082211958,0.5177777777777778,StandardScaler,feat5,KNeighborsRegressor,Data_chain_Preprocessing_#0_Model_StandardScaler_feat5_KNeighborsRegressor
2_0_%#1,5_0_%#1,7_0_%#2,raw,roi_mean,StandardScaler_feat5_RandomForestRegressor,0.048,0.9948346596294282,0.976,0.244,0.488,0.9920000000000002,0.9959919678390988,0.2489979919597746,0.4979959839195493,1.419904585617662,0.5039999999999999,StandardScaler,feat5,RandomForestRegressor,Data_chain_Preprocessing_#0_Model_StandardScaler_feat5_RandomForestRegressor
2_0_%#1,5_0_%#1,7_0_%#3,raw,roi_mean,StandardScaler_feat_all_KNeighborsRegressor,0.1199999999999999,1.3025786391274468,1.133333333333333,0.2833333333333332,0.5666666666666665,1.7111111111111112,1.308094458023239,0.3270236145058097,0.6540472290116195,1.081124955234671,0.1444444444444443,StandardScaler,feat_all,KNeighborsRegressor,Data_chain_Preprocessing_#0_Model_StandardScaler_feat_all_KNeighborsRegressor
2_0_%#1,5_0_%#1,7_0_%#4,raw,roi_mean,StandardScaler_feat_all_RandomForestRegressor,0.0319999999999999,1.0333324731179216,1.008,0.252,0.504,1.0688,1.0338278386656068,0.2584569596664017,0.5169139193328034,1.3679391379114572,0.4656,StandardScaler,feat_all,RandomForestRegressor,Data_chain_Preprocessing_#0_Model_StandardScaler_feat_all_RandomForestRegressor
2_0_%#1,5_0_%#2,7_0_%#1,raw,roi_median,StandardScaler_feat5_KNeighborsRegressor,0.0933333333333333,0.977616148257246,0.9733333333333332,0.2433333333333333,0.4866666666666666,0.9644444444444444,0.9820613241770824,0.2455153310442706,0.4910306620885412,1.440046082211958,0.5177777777777778,StandardScaler,feat5,KNeighborsRegressor,Data_chain_Preprocessing_#1_Model_StandardScaler_feat5_KNeighborsRegressor
2_0_%#1,5_0_%#2,7_0_%#2,raw,roi_median,StandardScaler_feat5_RandomForestRegressor,0.04,1.2066482503198686,1.144,0.286,0.5720000000000001,1.4576000000000002,1.2073110618229257,0.3018277654557314,0.6036555309114628,1.1713746416253044,0.2711999999999999,StandardScaler,feat5,RandomForestRegressor,Data_chain_Preprocessing_#1_Model_StandardScaler_feat5_RandomForestRegressor
2_0_%#1,5_0_%#2,7_0_%#3,raw,roi_median,StandardScaler_feat_all_KNeighborsRegressor,0.1733333333333332,1.2965595499886098,1.1333333333333333,0.2833333333333333,0.5666666666666667,1.7111111111111108,1.3080944580232388,0.3270236145058097,0.6540472290116194,1.081124955234671,0.1444444444444446,StandardScaler,feat_all,KNeighborsRegressor,Data_chain_Preprocessing_#1_Model_StandardScaler_feat_all_KNeighborsRegressor
2_0_%#1,5_0_%#2,7_0_%#4,raw,roi_median,StandardScaler_feat_all_RandomForestRegressor,-0.048,1.2384248059531109,1.152,0.288,0.576,1.5360000000000005,1.2393546707863734,0.3098386676965933,0.6196773353931867,1.141088661469096,0.2319999999999998,StandardScaler,feat_all,RandomForestRegressor,Data_chain_Preprocessing_#1_Model_StandardScaler_feat_all_RandomForestRegressor
2_0_%#2,5_0_%#1,7_0_%#1,snv,roi_mean,StandardScaler_feat5_KNeighborsRegressor,-0.0133333333333333,0.945069074489032,0.92,0.23,0.46,0.8933333333333333,0.9451631252505216,0.2362907813126304,0.4725815626252608,1.4962640041614494,0.5533333333333333,StandardScaler,feat5,KNeighborsRegressor,Data_chain_Preprocessing_#2_Model_StandardScaler_feat5_KNeighborsRegressor
2_0_%#2,5_0_%#1,7_0_%#2,snv,roi_mean,StandardScaler_feat5_RandomForestRegressor,0.096,0.8101752896750184,0.7360000000000001,0.184,0.368,0.6656,0.8158431221748456,0.2039607805437114,0.4079215610874228,1.7334381132038412,0.6672,StandardScaler,feat5,RandomForestRegressor,Data_chain_Preprocessing_#2_Model_StandardScaler_feat5_RandomForestRegressor
2_0_%#2,5_0_%#1,7_0_%#3,snv,roi_mean,StandardScaler_feat_all_KNeighborsRegressor,0.0666666666666666,0.9043106644167024,0.8666666666666667,0.2166666666666666,0.4333333333333333,0.8222222222222223,0.9067647005823628,0.2266911751455907,0.4533823502911814,1.559625734730109,0.5888888888888888,StandardScaler,feat_all,KNeighborsRegressor,Data_chain_Preprocessing_#2_Model_StandardScaler_feat_all_KNeighborsRegressor
2_0_%#2,5_0_%#1,7_0_%#4,snv,roi_mean,StandardScaler_feat_all_RandomForestRegressor,0.144,0.8570087514138932,0.7839999999999999,0.1959999999999999,0.3919999999999999,0.7552000000000001,0.8690224392960173,0.2172556098240043,0.4345112196480086,1.6273613872602983,0.6224,StandardScaler,feat_all,RandomForestRegressor,Data_chain_Preprocessing_#2_Model_StandardScaler_feat_all_RandomForestRegressor
2_0_%#2,5_0_%#2,7_0_%#1,snv,roi_median,StandardScaler_feat5_KNeighborsRegressor,-0.04,0.9629584045476154,0.9466666666666664,0.2366666666666666,0.4733333333333333,0.9288888888888888,0.9637888196533974,0.2409472049133493,0.4818944098266987,1.4673479641335556,0.5355555555555556,StandardScaler,feat5,KNeighborsRegressor,Data_chain_Preprocessing_#3_Model_StandardScaler_feat5_KNeighborsRegressor
2_0_%#2,5_0_%#2,7_0_%#2,snv,roi_median,StandardScaler_feat5_RandomForestRegressor,0.16,0.8197560612767678,0.736,0.184,0.368,0.6975999999999999,0.8352245207128439,0.2088061301782109,0.4176122603564219,1.6932136536964912,0.6512,StandardScaler,feat5,RandomForestRegressor,Data_chain_Preprocessing_#3_Model_StandardScaler_feat5_RandomForestRegressor
2_0_%#2,5_0_%#2,7_0_%#3,snv,roi_median,StandardScaler_feat_all_KNeighborsRegressor,0.0666666666666666,0.9043106644167024,0.8666666666666667,0.2166666666666666,0.4333333333333333,0.8222222222222223,0.9067647005823628,0.2266911751455907,0.4533823502911814,1.559625734730109,0.5888888888888888,StandardScaler,feat_all,KNeighborsRegressor,Data_chain_Preprocessing_#3_Model_StandardScaler_feat_all_KNeighborsRegressor
2_0_%#2,5_0_%#2,7_0_%#4,snv,roi_median,StandardScaler_feat_all_RandomForestRegressor,-0.0479999999999999,0.9282758210790584,0.784,0.196,0.392,0.8640000000000001,0.92951600308978,0.232379000772445,0.46475800154489,1.5214515486254614,0.568,StandardScaler,feat_all,RandomForestRegressor,Data_chain_Preprocessing_#3_Model_StandardScaler_feat_all_RandomForestRegressor
