Preprocessing_chain,Sample_ID,Label,Validation_group,Test,Train,X_shape,y,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45
2_0_%#1-5_0_%#2-,File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_1,1_1,leaf_1,1,1,"(46,)",4,0.0,308.0,768.0,819.0,784.0,826.0,806.0,815.0,875.0,1153.0,1838.0,2439.0,2626.0,2592.0,2256.0,1999.0,1888.0,1715.0,1605.0,1403.0,1137.0,923.0,971.0,2160.0,4205.0,5493.0,6172.0,6389.0,6436.0,6422.0,6426.0,6458.0,6491.0,6504.0,6537.0,6599.0,6631.0,6625.0,6651.0,6630.0,6623.0,6536.0,6419.0,6170.0,6017.0,6130.0
,File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_2,1_2,leaf_1,1,1,"(46,)",4,0.0,715.5,737.5,764.5,817.0,815.0,809.0,823.0,873.0,1115.0,1764.0,2328.5,2502.0,2484.0,2135.5,1896.0,1783.0,1612.0,1506.5,1329.5,1101.0,919.0,979.0,1994.0,3989.0,5353.0,6107.5,6318.0,6366.0,6371.0,6394.5,6393.0,6465.0,6448.5,6516.5,6532.0,6509.5,6560.5,6558.5,6584.0,6522.5,6447.0,6449.0,6001.5,6057.0,5951.0
,File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_3,1_3,leaf_1,1,1,"(46,)",4,293.0,951.0,675.0,772.0,731.0,732.0,733.0,720.0,796.5,1140.0,1950.5,2611.5,2818.5,2790.0,2409.0,2112.0,1981.5,1775.0,1618.5,1399.5,1093.0,821.0,867.0,2199.5,4303.0,5598.0,6235.0,6434.0,6491.0,6479.0,6484.0,6518.0,6557.0,6580.0,6651.0,6649.0,6673.0,6711.0,6742.0,6751.5,6751.0,6652.0,6580.5,6295.0,6136.0,6004.0
,File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_4,1_4,leaf_1,1,1,"(46,)",4,322.0,1102.5,772.0,884.0,811.5,855.0,835.0,850.5,903.5,1160.0,1830.5,2431.0,2607.0,2581.5,2239.0,1971.5,1867.5,1691.0,1578.0,1395.0,1154.0,948.0,1002.0,2054.0,4105.5,5545.0,6310.0,6569.5,6622.0,6622.5,6610.0,6664.0,6673.0,6723.5,6754.0,6770.0,6803.0,6824.5,6802.0,6811.0,6824.0,6728.5,6598.5,6393.0,6266.0,6061.0
,File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_5,1_5,leaf_1,1,1,"(46,)",4,461.5,1119.0,926.5,883.5,831.5,895.0,869.0,882.0,974.5,1349.5,2207.5,2927.0,3144.0,3105.5,2687.0,2376.0,2235.0,2007.0,1861.0,1616.5,1298.0,990.0,1030.0,2443.0,4709.0,6187.0,7002.5,7246.0,7310.5,7296.0,7302.0,7346.0,7385.0,7432.5,7448.0,7468.0,7486.5,7527.0,7548.5,7567.5,7552.0,7500.5,7355.5,7109.0,6920.0,6828.0
,File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_1,2_1,leaf_2,1,1,"(46,)",3,68.5,1027.5,584.0,527.0,555.5,572.0,573.0,550.0,598.0,800.0,1367.0,1885.0,2068.5,1997.0,1658.5,1413.5,1312.0,1138.0,1025.0,911.5,734.0,565.0,609.0,1382.0,3171.5,4539.0,5327.0,5633.5,5653.0,5735.0,5693.0,5702.0,5781.5,5801.5,5843.0,5793.0,5828.0,5884.0,5860.0,5833.0,5865.0,5792.0,5753.0,5463.0,5351.0,5242.0
,File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_2,2_2,leaf_2,1,1,"(46,)",3,0.0,217.0,393.0,367.0,376.0,429.0,426.0,415.0,465.0,654.0,1147.5,1600.0,1760.0,1702.0,1404.0,1194.0,1111.0,960.0,859.0,753.5,586.0,435.0,471.0,1166.5,2730.0,3964.0,4654.0,4871.0,4935.5,4975.5,4981.5,4998.0,5039.0,5048.0,5058.0,5051.0,5070.5,5097.0,5097.0,5093.0,5114.0,4968.0,4845.0,4692.0,4722.0,4632.5
,File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_3,2_3,leaf_2,1,1,"(46,)",3,0.0,169.0,372.0,405.0,427.0,434.0,444.0,441.0,491.0,711.0,1301.0,1845.0,2025.0,1974.0,1597.0,1343.0,1245.0,1062.0,950.0,831.0,639.0,470.0,520.0,1332.0,3287.0,4899.0,5897.0,6252.0,6344.0,6375.0,6383.0,6400.0,6426.0,6424.0,6441.0,6470.0,6489.0,6496.0,6473.0,6482.0,6397.0,6330.0,6131.0,5923.0,5966.0,5774.0
,File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_4,2_4,leaf_2,1,1,"(46,)",3,38.0,219.0,630.0,758.0,767.0,829.0,849.0,855.0,921.0,1247.0,1973.0,2604.0,2823.0,2768.5,2372.0,2087.5,1970.0,1745.0,1608.5,1442.0,1181.0,923.5,947.0,2068.0,4188.0,5570.0,6383.0,6647.5,6737.5,6748.5,6765.0,6755.0,6820.0,6804.0,6817.5,6834.0,6848.0,6901.0,6895.5,6855.0,6781.0,6757.0,6641.0,6384.0,6242.0,6142.0
,File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_5,2_5,leaf_2,1,1,"(46,)",3,35.0,203.0,505.0,412.0,404.0,449.5,454.0,453.0,499.0,745.0,1366.0,1914.5,2099.0,2053.0,1696.0,1440.0,1340.0,1154.0,1033.0,889.0,676.5,487.0,515.5,1422.0,3300.5,4634.0,5383.5,5625.0,5690.5,5711.0,5730.0,5757.5,5803.0,5786.0,5804.0,5817.5,5822.5,5853.0,5842.0,5800.0,5805.0,5721.5,5658.0,5466.0,5344.5,5243.0
