Step_0,Step_1,Step_2
raw,roi_mean,StandardScaler_feat5_KNeighborsRegressor
raw,roi_mean,StandardScaler_feat5_RandomForestRegressor
raw,roi_mean,StandardScaler_feat_all_KNeighborsRegressor
raw,roi_mean,StandardScaler_feat_all_RandomForestRegressor
raw,roi_median,StandardScaler_feat5_KNeighborsRegressor
raw,roi_median,StandardScaler_feat5_RandomForestRegressor
raw,roi_median,StandardScaler_feat_all_KNeighborsRegressor
raw,roi_median,StandardScaler_feat_all_RandomForestRegressor
snv,roi_mean,StandardScaler_feat5_KNeighborsRegressor
snv,roi_mean,StandardScaler_feat5_RandomForestRegressor
snv,roi_mean,StandardScaler_feat_all_KNeighborsRegressor
snv,roi_mean,StandardScaler_feat_all_RandomForestRegressor
snv,roi_median,StandardScaler_feat5_KNeighborsRegressor
snv,roi_median,StandardScaler_feat5_RandomForestRegressor
snv,roi_median,StandardScaler_feat_all_KNeighborsRegressor
snv,roi_median,StandardScaler_feat_all_RandomForestRegressor
